# Formato: id;titolo;genere;regista;anno;durata;etaMinima;dataOra;costo
2359;The Sting;Comedy;George Roy Hill;1973;129;0;2025-04-19 15:30;8.5
2360;The Bridges of Madison County;Drama;Clint Eastwood;1995;135;12;2025-04-19 12:30;8.5
2361;Paper Moon;Comedy;Peter Bogdanovich;1973;102;0;2025-04-19 10:00;7.0
2362;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-04-18 10:30;8.5
2363;The Bridges of Madison County;Drama;Clint Eastwood;1995;135;12;2025-04-17 15:30;7.0
2364;The Last of the Mohicans;Action;Michael Mann;1992;112;12;2025-04-17 12:30;6.5
2365;My Cousin Vinny;Comedy;Jonathan Lynn;1992;120;12;2025-04-17 10:00;8.5
2366;In America;Drama;Jim Sheridan;2002;105;12;2025-04-16 10:00;7.5
2367;Le locataire;Drama;Roman Polanski;1976;126;16;2025-04-15 14:00;8.5
2368;Breaking the Waves;Drama;Lars von Trier;1996;159;16;2025-04-15 10:30;8.0
2369;The Muppet Christmas Carol;Comedy;Brian Henson;1992;85;0;2025-04-14 13:00;7.0
2370;Who Framed Roger Rabbit;Animation;Robert Zemeckis;1988;104;0;2025-04-14 10:30;6.5
2371;Full Metal Jacket;Drama;Stanley Kubrick;1987;116;12;2025-04-13 19:30;10.0
2372;Mary Poppins;Comedy;Robert Stevenson;1964;139;0;2025-04-13 16:00;7.0
2373;Un long dimanche de fiançailles;Drama;Jean-Pierre Jeunet;2004;133;0;2025-04-13 13:00;8.5
2374;Le locataire;Drama;Roman Polanski;1976;126;16;2025-04-13 10:00;8.0
2375;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-04-12 18:00;9.5
2376;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;2025-04-12 15:00;6.5
2377;In America;Drama;Jim Sheridan;2002;105;12;2025-04-12 12:30;6.5
2378;In America;Drama;Jim Sheridan;2002;105;12;2025-04-12 10:00;7.5
2379;Home Alone;Comedy;Chris Columbus;1990;103;0;2025-04-11 13:00;6.5
2380;Paper Moon;Comedy;Peter Bogdanovich;1973;102;0;2025-04-11 10:30;8.5
2381;The Breakfast Club;Comedy;John Hughes;1985;97;12;2025-04-10 10:30;8.0
2382;In America;Drama;Jim Sheridan;2002;105;12;2025-04-09 13:00;8.5
2383;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-04-09 10:30;8.5
2384;Judgment at Nuremberg;Drama;Stanley Kramer;1961;179;12;2025-04-08 10:30;7.0
2385;Short Cuts;Comedy;Robert Altman;1993;188;16;2025-04-07 13:00;7.0
2386;The Incredibles;Animation;Brad Bird;2004;115;0;2025-04-07 10:00;8.5
2387;The Purple Rose of Cairo;Comedy;Woody Allen;1985;82;0;2025-04-06 15:00;8.0
2388;Predator;Action;John McTiernan;1987;107;12;2025-04-06 12:30;8.0
2389;The Purple Rose of Cairo;Comedy;Woody Allen;1985;82;0;2025-04-06 10:30;8.5
2390;The Purple Rose of Cairo;Comedy;Woody Allen;1985;82;0;2025-04-05 18:30;8.5
2391;In America;Drama;Jim Sheridan;2002;105;12;2025-04-05 16:00;8.5
2392;Cinderella Man;Biography;Ron Howard;2005;144;12;2025-04-05 12:30;6.5
2393;Who Framed Roger Rabbit;Animation;Robert Zemeckis;1988;104;0;2025-04-05 10:00;7.0
2394;The 39 Steps;Crime;Alfred Hitchcock;1935;86;12;2025-04-04 13:00;6.5
2395;Airplane!;Comedy;Jim Abrahams;1980;88;0;2025-04-04 10:30;8.5
2396;Kelly's Heroes;Adventure;Brian G. Hutton;1970;144;12;2025-04-03 10:00;7.0
2397;The Odd Couple;Comedy;Gene Saks;1968;105;0;2025-04-02 10:30;7.5
2398;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-04-01 10:30;7.5
2399;Aladdin;Animation;Ron Clements;1992;90;0;2025-03-31 10:30;7.5
2400;Fried Green Tomatoes;Drama;Jon Avnet;1991;130;12;2025-03-30 16:30;7.0
2401;The Odd Couple;Comedy;Gene Saks;1968;105;0;2025-03-30 14:00;8.0
2402;Sleepers;Crime;Barry Levinson;1996;147;12;2025-03-30 10:30;8.0
2403;Kelly's Heroes;Adventure;Brian G. Hutton;1970;144;12;2025-03-29 16:00;6.5
2404;Who Framed Roger Rabbit;Animation;Robert Zemeckis;1988;104;0;2025-03-29 13:30;7.5
2405;Le locataire;Drama;Roman Polanski;1976;126;16;2025-03-29 10:30;8.5
2406;Forrest Gump;Drama;Robert Zemeckis;1994;142;12;2025-03-28 10:30;6.5
2407;The Odd Couple;Comedy;Gene Saks;1968;105;0;2025-03-27 16:30;7.0
2408;The Sting;Comedy;George Roy Hill;1973;129;0;2025-03-27 13:30;7.5
2409;Breaking the Waves;Drama;Lars von Trier;1996;159;16;2025-03-27 10:00;6.5
2410;Indiana Jones and the Last Crusade;Action;Steven Spielberg;1989;127;0;2025-03-26 13:00;6.5
2411;Full Metal Jacket;Drama;Stanley Kubrick;1987;116;12;2025-03-26 10:00;6.5
2412;Kelly's Heroes;Adventure;Brian G. Hutton;1970;144;12;2025-03-25 14:00;7.0
2413;The Wild Bunch;Action;Sam Peckinpah;1969;145;12;2025-03-25 10:30;7.0
2414;The Odd Couple;Comedy;Gene Saks;1968;105;0;2025-03-24 12:30;8.5
2415;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-03-24 10:00;8.5
2416;Network;Drama;Sidney Lumet;1976;121;12;2025-03-23 20:30;9.5
2417;Fried Green Tomatoes;Drama;Jon Avnet;1991;130;12;2025-03-23 17:30;8.5
2418;The Incredibles;Animation;Brad Bird;2004;115;0;2025-03-23 14:30;7.5
2419;Judgment at Nuremberg;Drama;Stanley Kramer;1961;179;12;2025-03-23 10:30;6.5
2420;Indiana Jones and the Last Crusade;Action;Steven Spielberg;1989;127;0;2025-03-22 18:30;9.5
2421;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-03-22 16:00;6.5
2422;The Incredibles;Animation;Brad Bird;2004;115;0;2025-03-22 13:00;8.0
2423;Who Framed Roger Rabbit;Animation;Robert Zemeckis;1988;104;0;2025-03-22 10:30;7.0
2424;Cat on a Hot Tin Roof;Drama;Richard Brooks;1958;108;12;2025-03-21 13:30;7.5
2425;Mary Poppins;Comedy;Robert Stevenson;1964;139;0;2025-03-21 10:30;7.0
2426;Once Were Warriors;Crime;Lee Tamahori;1994;102;12;2025-03-20 16:00;7.0
2427;Fried Green Tomatoes;Drama;Jon Avnet;1991;130;12;2025-03-20 13:00;8.5
2428;The Odd Couple;Comedy;Gene Saks;1968;105;0;2025-03-20 10:30;7.5
2429;Breaking the Waves;Drama;Lars von Trier;1996;159;16;2025-03-19 16:00;6.5
2430;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;2025-03-19 12:30;8.5
2431;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-03-19 10:00;6.5
2432;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-03-18 15:30;8.5
2433;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;2025-03-18 12:30;8.0
2434;Cat on a Hot Tin Roof;Drama;Richard Brooks;1958;108;12;2025-03-18 10:00;7.5
2435;Schindler's List;Biography;Steven Spielberg;1993;195;12;2025-03-17 13:00;7.5
2436;Back to the Future;Adventure;Robert Zemeckis;1985;116;0;2025-03-17 10:00;6.5
2437;Die Hard;Action;John McTiernan;1988;132;12;2025-03-16 20:00;8.5
2438;The Shining;Drama;Stanley Kubrick;1980;146;12;2025-03-16 16:30;7.5
2439;The Incredibles;Animation;Brad Bird;2004;115;0;2025-03-16 13:30;8.0
2440;Fried Green Tomatoes;Drama;Jon Avnet;1991;130;12;2025-03-16 10:30;6.5
2441;Once Were Warriors;Crime;Lee Tamahori;1994;102;12;2025-03-15 20:00;8.5
2442;Le locataire;Drama;Roman Polanski;1976;126;16;2025-03-15 17:00;8.5
2443;Belle de jour;Drama;Luis Buñuel;1967;100;12;2025-03-15 14:30;6.5
2444;Schindler's List;Biography;Steven Spielberg;1993;195;12;2025-03-15 10:30;8.0
2445;Aladdin;Animation;Ron Clements;1992;90;0;2025-03-14 13:00;6.5
2446;Rosemary's Baby;Drama;Roman Polanski;1968;137;12;2025-03-14 10:00;8.5
2447;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-03-13 10:00;8.5
2448;Cat on a Hot Tin Roof;Drama;Richard Brooks;1958;108;12;2025-03-12 13:30;6.5
2449;Network;Drama;Sidney Lumet;1976;121;12;2025-03-12 10:30;8.0
2450;It Happened One Night;Comedy;Frank Capra;1934;105;12;2025-03-11 10:00;7.5
2451;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-03-10 16:30;7.0
2452;Network;Drama;Sidney Lumet;1976;121;12;2025-03-10 13:30;6.5
2453;Back to the Future;Adventure;Robert Zemeckis;1985;116;0;2025-03-10 10:30;6.5
2454;Viskningar och rop;Drama;Ingmar Bergman;1972;91;12;2025-03-09 17:00;8.0
2455;Das Cabinet des Dr. Caligari;Fantasy;Robert Wiene;1920;76;12;2025-03-09 15:00;6.5
2456;Paper Moon;Comedy;Peter Bogdanovich;1973;102;0;2025-03-09 12:30;6.5
2457;Kind Hearts and Coronets;Comedy;Robert Hamer;1949;106;0;2025-03-09 10:00;7.5
2458;The Incredibles;Animation;Brad Bird;2004;115;0;2025-03-08 15:30;8.0
2459;Lilja 4-ever;Crime;Lukas Moodysson;2002;109;16;2025-03-08 13:00;7.5
2460;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;2025-03-08 10:30;8.5
2461;Aladdin;Animation;Ron Clements;1992;90;0;2025-03-07 14:00;8.5
2462;Schindler's List;Biography;Steven Spielberg;1993;195;12;2025-03-07 10:00;6.5
2463;One Flew Over the Cuckoo's Nest;Drama;Milos Forman;1975;133;12;2025-03-06 13:00;7.0
2464;True Romance;Crime;Tony Scott;1993;119;16;2025-03-06 10:00;7.5
2465;Die Hard;Action;John McTiernan;1988;132;12;2025-03-05 10:00;7.0
2466;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-03-04 10:30;6.5
2467;Back to the Future;Adventure;Robert Zemeckis;1985;116;0;2025-03-03 15:00;7.5
2468;Home Alone;Comedy;Chris Columbus;1990;103;0;2025-03-03 12:30;6.5
2469;The Wizard of Oz;Adventure;Victor Fleming;1939;102;0;2025-03-03 10:00;6.5
2470;Sleepers;Crime;Barry Levinson;1996;147;12;2025-03-02 15:00;7.0
2471;Halloween;Horror;John Carpenter;1978;91;12;2025-03-02 12:30;8.0
2472;Lilja 4-ever;Crime;Lukas Moodysson;2002;109;16;2025-03-02 10:00;7.0
2473;Lilja 4-ever;Crime;Lukas Moodysson;2002;109;16;2025-03-01 18:30;10.0
2474;One Flew Over the Cuckoo's Nest;Drama;Milos Forman;1975;133;12;2025-03-01 15:30;7.5
2475;The Lady Vanishes;Mystery;Alfred Hitchcock;1938;96;12;2025-03-01 13:00;8.5
2476;Once Were Warriors;Crime;Lee Tamahori;1994;102;12;2025-03-01 10:30;8.0
2477;Paper Moon;Comedy;Peter Bogdanovich;1973;102;0;2025-02-28 15:00;7.0
2478;Once Were Warriors;Crime;Lee Tamahori;1994;102;12;2025-02-28 12:30;8.0
2479;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-02-28 10:00;6.5
2480;The Wild Bunch;Action;Sam Peckinpah;1969;145;12;2025-02-27 10:00;7.5
2481;Red River;Action;Howard Hawks;1948;133;12;2025-02-26 10:00;7.0
2482;One Flew Over the Cuckoo's Nest;Drama;Milos Forman;1975;133;12;2025-02-25 10:30;8.5
2483;Fa yeung nin wah;Drama;Kar-Wai Wong;2000;98;0;2025-02-24 10:30;8.0
2484;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-02-23 16:00;7.0
2485;Viskningar och rop;Drama;Ingmar Bergman;1972;91;12;2025-02-23 13:30;7.0
2486;One Flew Over the Cuckoo's Nest;Drama;Milos Forman;1975;133;12;2025-02-23 10:30;6.5
2487;Paper Moon;Comedy;Peter Bogdanovich;1973;102;0;2025-02-22 19:00;9.0
2488;Sleepers;Crime;Barry Levinson;1996;147;12;2025-02-22 15:30;8.5
2489;Halloween;Horror;John Carpenter;1978;91;12;2025-02-22 13:00;8.0
2490;One Flew Over the Cuckoo's Nest;Drama;Milos Forman;1975;133;12;2025-02-22 10:00;6.5
2491;The Lady Vanishes;Mystery;Alfred Hitchcock;1938;96;12;2025-02-21 10:30;7.5
2492;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;2025-02-20 16:00;7.5
2493;The Wild Bunch;Action;Sam Peckinpah;1969;145;12;2025-02-20 12:30;6.5
2494;Pink Floyd: The Wall;Drama;Alan Parker;1982;95;12;2025-02-20 10:00;8.5
2495;Rosemary's Baby;Drama;Roman Polanski;1968;137;12;2025-02-19 14:30;7.5
2496;Ben-Hur;Adventure;William Wyler;1959;212;0;2025-02-19 10:00;8.5
2497;Primal Fear;Crime;Gregory Hoblit;1996;129;12;2025-02-18 17:30;7.5
2498;Barry Lyndon;Adventure;Stanley Kubrick;1975;185;6;2025-02-18 13:30;7.0
2499;The Wild Bunch;Action;Sam Peckinpah;1969;145;12;2025-02-18 10:00;8.5
2500;Rosemary's Baby;Drama;Roman Polanski;1968;137;12;2025-02-17 13:30;6.5
2501;Network;Drama;Sidney Lumet;1976;121;12;2025-02-17 10:30;7.5
2502;Platoon;Drama;Oliver Stone;1986;120;12;2025-02-16 18:00;9.0
2503;The Wizard of Oz;Adventure;Victor Fleming;1939;102;0;2025-02-16 15:30;8.5
2504;Arsenic and Old Lace;Comedy;Frank Capra;1942;118;12;2025-02-16 12:30;6.5
2505;The Lady Vanishes;Mystery;Alfred Hitchcock;1938;96;12;2025-02-16 10:00;8.0
2506;Bound by Honor;Crime;Taylor Hackford;1993;180;16;2025-02-15 18:30;10.0
2507;Halloween;Horror;John Carpenter;1978;91;12;2025-02-15 16:00;7.0
2508;Mad Max 2;Action;George Miller;1981;96;12;2025-02-15 13:30;7.5
2509;In the Name of the Father;Biography;Jim Sheridan;1993;133;12;2025-02-15 10:30;6.5
2510;Training Day;Crime;Antoine Fuqua;2001;122;12;2025-02-14 10:00;8.0
2511;Network;Drama;Sidney Lumet;1976;121;12;2025-02-13 13:00;7.5
2512;Fa yeung nin wah;Drama;Kar-Wai Wong;2000;98;0;2025-02-13 10:30;8.0
2513;Das Cabinet des Dr. Caligari;Fantasy;Robert Wiene;1920;76;12;2025-02-12 15:30;8.5
2514;Aladdin;Animation;Ron Clements;1992;90;0;2025-02-12 13:00;7.5
2515;Die Hard;Action;John McTiernan;1988;132;12;2025-02-12 10:00;8.0
2516;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-02-11 10:30;8.5
2517;Rosemary's Baby;Drama;Roman Polanski;1968;137;12;2025-02-10 10:30;7.0
2518;Aladdin;Animation;Ron Clements;1992;90;0;2025-02-09 17:30;6.5
2519;Kind Hearts and Coronets;Comedy;Robert Hamer;1949;106;0;2025-02-09 15:00;8.0
2520;Clerks;Comedy;Kevin Smith;1994;92;16;2025-02-09 12:30;6.5
2521;Clerks;Comedy;Kevin Smith;1994;92;16;2025-02-09 10:00;8.0
2522;Platoon;Drama;Oliver Stone;1986;120;12;2025-02-08 15:30;7.0
2523;It Happened One Night;Comedy;Frank Capra;1934;105;12;2025-02-08 13:00;8.0
2524;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-02-08 10:30;8.5
2525;Twelve Monkeys;Mystery;Terry Gilliam;1995;129;12;2025-02-07 16:00;7.5
2526;Back to the Future;Adventure;Robert Zemeckis;1985;116;0;2025-02-07 13:00;6.5
2527;The Magnificent Seven;Action;John Sturges;1960;128;12;2025-02-07 10:00;6.5
2528;Rashômon;Crime;Akira Kurosawa;1950;88;12;2025-02-06 15:00;8.5
2529;Das Cabinet des Dr. Caligari;Fantasy;Robert Wiene;1920;76;12;2025-02-06 13:00;7.0
2530;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-02-06 10:30;6.5
2531;Au revoir les enfants;Drama;Louis Malle;1987;104;0;2025-02-05 10:00;7.5
2532;Kind Hearts and Coronets;Comedy;Robert Hamer;1949;106;0;2025-02-04 15:00;7.5
2533;Strangers on a Train;Crime;Alfred Hitchcock;1951;101;12;2025-02-04 12:30;6.5
2534;It Happened One Night;Comedy;Frank Capra;1934;105;12;2025-02-04 10:00;7.0
2535;Clerks;Comedy;Kevin Smith;1994;92;16;2025-02-03 15:00;8.5
2536;Home Alone;Comedy;Chris Columbus;1990;103;0;2025-02-03 12:30;8.5
2537;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Animation;Hideaki Anno;1997;87;12;2025-02-03 10:00;8.5
2538;Training Day;Crime;Antoine Fuqua;2001;122;12;2025-02-02 16:00;6.5
2539;Dog Day Afternoon;Biography;Sidney Lumet;1975;125;0;2025-02-02 13:00;7.0
2540;Strangers on a Train;Crime;Alfred Hitchcock;1951;101;12;2025-02-02 10:30;7.5
2541;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-02-01 18:00;9.0
2542;Au revoir les enfants;Drama;Louis Malle;1987;104;0;2025-02-01 15:30;8.5
2543;The Goonies;Adventure;Richard Donner;1985;114;0;2025-02-01 13:00;7.5
2544;Primal Fear;Crime;Gregory Hoblit;1996;129;12;2025-02-01 10:00;7.0
2545;The Goonies;Adventure;Richard Donner;1985;114;0;2025-01-31 13:00;7.5
2546;Clerks;Comedy;Kevin Smith;1994;92;16;2025-01-31 10:30;7.5
2547;Au revoir les enfants;Drama;Louis Malle;1987;104;0;2025-01-30 10:30;6.5
2548;Home Alone;Comedy;Chris Columbus;1990;103;0;2025-01-29 13:30;8.0
2549;Il buono, il brutto, il cattivo;Western;Sergio Leone;1966;161;12;2025-01-29 10:00;7.5
2550;Arsenic and Old Lace;Comedy;Frank Capra;1942;118;12;2025-01-28 10:00;7.5
2551;The Magnificent Seven;Action;John Sturges;1960;128;12;2025-01-27 16:30;8.5
2552;Training Day;Crime;Antoine Fuqua;2001;122;12;2025-01-27 13:30;8.5
2553;Training Day;Crime;Antoine Fuqua;2001;122;12;2025-01-27 10:30;7.0
2554;The Godfather: Part III;Crime;Francis Ford Coppola;1990;162;12;2025-01-26 19:00;9.5
2555;Rashômon;Crime;Akira Kurosawa;1950;88;12;2025-01-26 16:30;8.0
2556;Mononoke-hime;Animation;Hayao Miyazaki;1997;134;0;2025-01-26 13:30;6.5
2557;The Magnificent Seven;Action;John Sturges;1960;128;12;2025-01-26 10:30;7.0
2558;Twelve Monkeys;Mystery;Terry Gilliam;1995;129;12;2025-01-25 17:00;6.5
2559;Barry Lyndon;Adventure;Stanley Kubrick;1975;185;6;2025-01-25 13:00;6.5
2560;Training Day;Crime;Antoine Fuqua;2001;122;12;2025-01-25 10:00;7.0
2561;Escape from Alcatraz;Action;Don Siegel;1979;112;12;2025-01-24 13:00;8.0
2562;Repulsion;Drama;Roman Polanski;1965;105;12;2025-01-24 10:30;7.5
2563;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-01-23 15:30;6.5
2564;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-01-23 12:30;8.5
2565;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;2025-01-23 10:00;8.0
2566;The Goonies;Adventure;Richard Donner;1985;114;0;2025-01-22 15:30;7.0
2567;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-01-22 13:00;7.0
2568;It Happened One Night;Comedy;Frank Capra;1934;105;12;2025-01-22 10:30;8.0
2569;All About Eve;Drama;Joseph L. Mankiewicz;1950;138;12;2025-01-21 13:00;7.0
2570;Repulsion;Drama;Roman Polanski;1965;105;12;2025-01-21 10:30;7.5
2571;Platoon;Drama;Oliver Stone;1986;120;12;2025-01-20 13:30;7.0
2572;Twelve Monkeys;Mystery;Terry Gilliam;1995;129;12;2025-01-20 10:30;6.5
2573;Gongdong gyeongbi guyeok JSA;Action;Chan-wook Park;2000;110;12;2025-01-19 18:00;8.5
2574;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Animation;Hideaki Anno;1997;87;12;2025-01-19 16:00;7.5
2575;Au revoir les enfants;Drama;Louis Malle;1987;104;0;2025-01-19 13:30;8.5
2576;Platoon;Drama;Oliver Stone;1986;120;12;2025-01-19 10:30;8.5
2577;Barry Lyndon;Adventure;Stanley Kubrick;1975;185;6;2025-01-18 18:00;9.0
2578;First Blood;Action;Ted Kotcheff;1982;93;12;2025-01-18 15:30;6.5
2579;Au revoir les enfants;Drama;Louis Malle;1987;104;0;2025-01-18 13:00;7.0
2580;Escape from Alcatraz;Action;Don Siegel;1979;112;12;2025-01-18 10:00;8.5
2581;First Blood;Action;Ted Kotcheff;1982;93;12;2025-01-17 16:00;7.0
2582;Gongdong gyeongbi guyeok JSA;Action;Chan-wook Park;2000;110;12;2025-01-17 13:30;6.5
2583;Platoon;Drama;Oliver Stone;1986;120;12;2025-01-17 10:30;8.0
2584;All About Eve;Drama;Joseph L. Mankiewicz;1950;138;12;2025-01-16 15:30;7.0
2585;Finding Nemo;Animation;Andrew Stanton;2003;100;0;2025-01-16 13:00;8.5
2586;Stand by Me;Adventure;Rob Reiner;1986;89;0;2025-01-16 10:30;6.5
2587;City Lights;Comedy;Charles Chaplin;1931;87;0;2025-01-15 13:00;7.5
2588;Fa yeung nin wah;Drama;Kar-Wai Wong;2000;98;0;2025-01-15 10:30;6.5
2589;Twelve Monkeys;Mystery;Terry Gilliam;1995;129;12;2025-01-14 10:30;7.0
2590;Amélie;Comedy;Jean-Pierre Jeunet;2001;122;0;2025-01-13 10:00;8.0
2591;The Godfather: Part III;Crime;Francis Ford Coppola;1990;162;12;2025-01-12 15:30;6.5
2592;Escape from Alcatraz;Action;Don Siegel;1979;112;12;2025-01-12 13:00;6.5
2593;The Thin Man;Comedy;W.S. Van Dyke;1934;91;12;2025-01-12 10:30;6.5
2594;Platoon;Drama;Oliver Stone;1986;120;12;2025-01-11 15:00;8.5
2595;City Lights;Comedy;Charles Chaplin;1931;87;0;2025-01-11 12:30;8.5
2596;Les choristes;Drama;Christophe Barratier;2004;97;12;2025-01-11 10:00;6.5
2597;The Thin Man;Comedy;W.S. Van Dyke;1934;91;12;2025-01-10 10:30;7.5
2598;Mononoke-hime;Animation;Hayao Miyazaki;1997;134;0;2025-01-09 13:00;7.5
2599;The Thin Man;Comedy;W.S. Van Dyke;1934;91;12;2025-01-09 10:30;7.0
2600;All About Eve;Drama;Joseph L. Mankiewicz;1950;138;12;2025-01-08 16:00;7.5
2601;Mononoke-hime;Animation;Hayao Miyazaki;1997;134;0;2025-01-08 13:00;8.5
2602;All About Eve;Drama;Joseph L. Mankiewicz;1950;138;12;2025-01-08 10:00;8.5
2603;Repulsion;Drama;Roman Polanski;1965;105;12;2025-01-07 16:30;6.5
2604;Twelve Monkeys;Mystery;Terry Gilliam;1995;129;12;2025-01-07 13:30;6.5
2605;The Godfather: Part III;Crime;Francis Ford Coppola;1990;162;12;2025-01-07 10:00;6.5
2606;Home Alone;Comedy;Chris Columbus;1990;103;0;2025-01-06 10:30;7.5
2607;The Apartment;Comedy;Billy Wilder;1960;125;0;2025-01-05 19:00;9.5
2608;Dial M for Murder;Crime;Alfred Hitchcock;1954;105;12;2025-01-05 16:30;7.0
2609;In the Name of the Father;Biography;Jim Sheridan;1993;133;12;2025-01-05 13:30;7.5
2610;The Apartment;Comedy;Billy Wilder;1960;125;0;2025-01-05 10:30;7.0
2611;First Blood;Action;Ted Kotcheff;1982;93;12;2025-01-04 18:30;8.5
2612;Fa yeung nin wah;Drama;Kar-Wai Wong;2000;98;0;2025-01-04 16:00;7.0
2613;Repulsion;Drama;Roman Polanski;1965;105;12;2025-01-04 13:30;8.5
2614;In the Name of the Father;Biography;Jim Sheridan;1993;133;12;2025-01-04 10:30;7.0
2615;The Kid;Comedy;Charles Chaplin;1921;68;12;2025-01-03 10:00;8.5
2616;Stagecoach;Adventure;John Ford;1939;96;12;2025-01-02 16:00;7.0
2617;The Last Samurai;Action;Edward Zwick;2003;154;12;2025-01-02 12:30;6.5
2618;The Thin Man;Comedy;W.S. Van Dyke;1934;91;12;2025-01-02 10:00;8.5
2619;The Apartment;Comedy;Billy Wilder;1960;125;0;2025-01-01 13:00;8.5
2620;Stand by Me;Adventure;Rob Reiner;1986;89;0;2025-01-01 10:30;7.0
2621;Gongdong gyeongbi guyeok JSA;Action;Chan-wook Park;2000;110;12;2024-12-31 13:00;6.5
2622;First Blood;Action;Ted Kotcheff;1982;93;12;2024-12-31 10:30;6.5
2623;Lola rennt;Crime;Tom Tykwer;1998;81;12;2024-12-30 16:30;7.5
2624;Midnight Cowboy;Drama;John Schlesinger;1969;113;12;2024-12-30 13:30;8.0
2625;Mississippi Burning;Crime;Alan Parker;1988;128;12;2024-12-30 10:30;7.0
2626;Gongdong gyeongbi guyeok JSA;Action;Chan-wook Park;2000;110;12;2024-12-29 16:30;6.5
2627;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;2024-12-29 14:00;7.0
2628;The Godfather: Part III;Crime;Francis Ford Coppola;1990;162;12;2024-12-29 10:30;8.0
2629;Harry Potter and the Prisoner of Azkaban;Adventure;Alfonso Cuarón;2004;142;0;2024-12-28 19:00;8.5
2630;Harry Potter and the Prisoner of Azkaban;Adventure;Alfonso Cuarón;2004;142;0;2024-12-28 16:00;6.5
2631;Anatomy of a Murder;Crime;Otto Preminger;1959;161;12;2024-12-28 12:30;7.0
2632;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;Animation;Hideaki Anno;1997;87;12;2024-12-28 10:30;8.0
2633;Finding Nemo;Animation;Andrew Stanton;2003;100;0;2024-12-27 13:00;6.5
2634;Le samouraï;Crime;Jean-Pierre Melville;1967;105;12;2024-12-27 10:30;6.5
2635;Midnight Cowboy;Drama;John Schlesinger;1969;113;12;2024-12-26 16:00;7.5
2636;Das Boot;Adventure;Wolfgang Petersen;1981;149;16;2024-12-26 12:30;7.0
2637;The Thin Man;Comedy;W.S. Van Dyke;1934;91;12;2024-12-26 10:00;6.5
2638;Finding Nemo;Animation;Andrew Stanton;2003;100;0;2024-12-25 15:30;6.5
2639;Eternal Sunshine of the Spotless Mind;Drama;Michel Gondry;2004;108;12;2024-12-25 13:00;8.5
2640;Blade Runner;Action;Ridley Scott;1982;117;12;2024-12-25 10:30;8.5
2641;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;2024-12-24 15:30;8.5
2642;Die Hard;Action;John McTiernan;1988;132;12;2024-12-24 12:30;8.5
2643;City Lights;Comedy;Charles Chaplin;1931;87;0;2024-12-24 10:00;7.0
2644;American Psycho;Comedy;Mary Harron;2000;101;12;2024-12-23 10:00;7.0
2645;Anatomy of a Murder;Crime;Otto Preminger;1959;161;12;2024-12-22 15:30;8.5
2646;The Others;Horror;Alejandro Amenábar;2001;101;12;2024-12-22 13:00;7.0
2647;Il postino;Biography;Michael Radford;1994;108;0;2024-12-22 10:30;7.5
2648;In the Name of the Father;Biography;Jim Sheridan;1993;133;12;2024-12-21 18:30;10.0
2649;All About Eve;Drama;Joseph L. Mankiewicz;1950;138;12;2024-12-21 15:00;6.5
2650;City Lights;Comedy;Charles Chaplin;1931;87;0;2024-12-21 12:30;8.5
2651;Gongdong gyeongbi guyeok JSA;Action;Chan-wook Park;2000;110;12;2024-12-21 10:00;7.0
2652;The Night of the Hunter;Crime;Charles Laughton;1955;92;12;2024-12-20 15:30;8.5
2653;Freaks;Drama;Tod Browning;1932;64;12;2024-12-20 13:30;8.0
2654;Die Hard;Action;John McTiernan;1988;132;12;2024-12-20 10:30;7.0
2655;Finding Nemo;Animation;Andrew Stanton;2003;100;0;2024-12-19 13:00;7.0
